jnjId,ohdsiId
13241,723
13244,724
12482,725
10636,213
13342,726
10660,727
10632,207
9007,720
17366,728
10667,729
16946,730
10735,276
10736,731
10669,732
10670,733
13234,735
13262,736
10635,737
13371,728
10654,739
10655,216
10630,730
10694,211
10668,229
12398,740
6651,1317
10657,218
10711,222
10707,219
10656,741
10710,275
